Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4024228565638488690096786258,0.402422856563849,0.402422856563849,0.402422856563849,0.402422856563849,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,666273.4
0.02,0,0.4002860976309700915651756197,0.40028609763097,0.40028609763097,0.40028609763097,0.40028609763097,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,1332547
0.03,0,0.3882012775440671718582332281,0.388201277544067,0.388201277544067,0.388201277544067,0.388201277544067,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,1998820
0.04,0,0.3780064420971140666935889001,0.378006442097114,0.378006442097114,0.378006442097114,0.378006442097114,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,2665094
0.05,0,0.3770425118809398244773579811,0.37704251188094,0.37704251188094,0.37704251188094,0.37704251188094,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,3331367
0.06,0,0.3753359049605729638470358425,0.375335904960573,0.375335904960573,0.375335904960573,0.375335904960573,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,3997640
0.07,0,0.3733915374155362085269420363,0.373391537415536,0.373391537415536,0.373391537415536,0.373391537415536,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,4663914
0.08,0,0.3714103428033100936923876356,0.37141034280331,0.37141034280331,0.37141034280331,0.37141034280331,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,5330188
0.09,0,0.3694764087942630496787609481,0.369476408794263,0.369476408794263,0.369476408794263,0.369476408794263,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,5996461
0.10,0,0.3685431046521275509085915012,0.368543104652128,0.368543104652128,0.368543104652128,0.368543104652128,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,6662734
0.11,0,0.3685025830747330867189697908,0.368502583074733,0.368502583074733,0.368502583074733,0.368502583074733,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,7329008
0.12,0,0.3684669621064017818460200949,0.368466962106402,0.368466962106402,0.368466962106402,0.368466962106402,0,0,0,0,10.14105996540025,84.19028000442237949392993529,84.19028000442237949392993529,7995281
